Scan_ID,Angle,Distance
15,325.65625,2577.0
15,326.875,2658.75
15,328.109375,2753.5
15,329.328125,2845.0
15,330.53125,2951.5
15,331.75,2928.75
15,333.015625,2892.25
15,334.234375,2838.5
15,335.484375,2828.75
15,336.703125,2793.5
15,337.921875,2740.75
15,339.15625,2740.5
15,340.421875,2705.5
15,341.671875,2679.75
15,342.890625,2654.0
15,344.140625,2631.5
15,345.359375,2619.25
15,346.609375,2593.5
15,347.828125,2593.0
15,349.078125,2591.5
15,350.296875,2566.0
15,351.546875,2560.5
15,352.765625,2555.25
15,353.984375,2549.75
15,355.234375,2545.25
15,356.46875,2529.0
15,357.703125,2532.75
15,358.921875,2531.5
15,0.1875,2519.75
15,1.390625,2524.5
15,2.625,2523.75
15,3.875,2514.75
15,5.09375,2519.75
15,6.328125,2520.25
15,7.578125,2520.5
15,8.78125,2534.0
15,10.015625,2535.75
15,11.1875,2542.25
15,12.421875,2545.0
15,13.640625,2551.75
15,14.859375,2564.25
15,16.109375,2570.75
15,17.328125,2598.75
15,18.546875,2610.0
15,19.75,2632.75
15,21.015625,2644.5
15,22.21875,2648.5
15,23.4375,2690.0
15,24.65625,2706.0
15,25.90625,2719.0
15,27.125,2759.75
15,28.359375,2791.25
15,29.59375,2719.25
15,30.84375,2589.75
15,32.078125,2478.25
15,33.328125,2488.5
15,34.609375,2535.75
15,35.828125,2563.5
15,37.0625,2609.5
15,38.265625,2654.75
15,39.46875,2686.75
15,40.6875,2743.25
15,41.9375,2773.0
15,43.140625,2835.5
15,44.359375,2906.25
15,45.578125,2948.5
15,46.8125,3007.5
15,48.046875,3052.75
15,49.265625,3118.75
15,50.484375,3202.75
15,51.703125,3259.0
15,52.90625,3353.0
15,54.125,3450.25
15,55.359375,3539.5
15,56.5625,3649.75
15,57.8125,3635.0
15,59.125,3412.5
15,60.375,3418.75
15,61.59375,3369.5
15,62.859375,3219.75
15,64.09375,3233.5
15,65.34375,3227.25
15,66.5625,3196.25
15,67.796875,3114.5
15,69.046875,3060.5
15,70.28125,3103.0
15,71.515625,3083.75
15,72.765625,2963.0
15,74.015625,3014.0
15,75.21875,3039.25
15,76.453125,3089.0
15,77.703125,3064.75
15,78.90625,3045.25
15,80.15625,3020.5
15,81.40625,3013.0
15,82.59375,3006.75
15,83.828125,2981.25
15,85.0625,2979.25
15,86.296875,2966.75
15,87.53125,2960.25
15,88.765625,2958.0
15,90.0,2955.0
15,91.234375,2949.25
15,92.421875,3076.0
15,93.671875,3075.0
15,94.90625,3109.0
15,96.125,3078.5
15,97.34375,3099.5
15,98.578125,3118.5
15,99.8125,3097.75
15,101.0625,3126.25
15,102.28125,3134.75
15,103.5,3140.75
15,104.734375,3149.5
15,105.96875,3161.25
15,107.1875,3171.25
15,108.421875,3202.75
15,109.6875,3053.5
15,110.890625,3078.75
15,112.125,3117.0
